Description,GSM1059640,GSM1059641,GSM1059642,GSM1059643,GSM1059644,GSM1059645,GSM1059646,GSM1059647,GSM1059648,GSM1059649,GSM1059650,GSM1059651,GSM1059652,GSM1059653,GSM1059654,ID
"calcium channel, voltage-dependent, alpha 2/delta subunit 1",2.987924123,3.030367565,3.674861867,2.670426423,2.45493206,2.890372176,3.033005153,3.426913688,3.128118114,2.487120221,3.147580485,3.133420519,2.169584979,3.576223432,3.185787452,781_at
"nephrosis 2, idiopathic, steroid-resistant (podocin)",1.606005011,1.522999148,1.640303573,1.550736021,1.601677691,1.352583624,1.520473658,1.375427161,1.680970272,1.706247728,1.517157553,1.410203946,1.901312577,1.394240462,1.520473658,7827_at
"calcium channel, voltage-dependent, beta 1 subunit",1.878051011,2.22366913,1.816229888,2.109850562,2.272471992,2.186522269,2.018912531,2.050616257,1.844024134,2.489479563,2.000072009,2.068326096,1.67261884,2.050616257,2.236754392,782_at
"BTG family, member 2",4.822896186,5.157337265,5.394452196,5.564430124,5.70771625,6.39319183,6.251227349,5.235409559,4.346486184,4.754562109,5.488769685,5.164072051,6.746924775,5.110159873,5.650944097,7832_at
peroxidasin homolog (Drosophila),9.926136758,10.24671996,9.993231845,10.3322289,10.09286314,10.15906342,9.981254607,10.3487273,8.646366138,9.789318332,10.15923083,9.150560338,10.28433375,10.1988774,10.43399391,7837_at
"calcium channel, voltage-dependent, beta 2 subunit",1.746735761,1.788095569,1.895607033,1.695599093,1.697642627,1.746735761,1.701396209,1.872396225,1.785938004,1.528085318,1.579452126,1.577091053,1.830178292,1.699524095,1.787516873,783_at
Alstrom syndrome 1,4.024277023,4.140315039,3.623410685,4.184134878,4.216597643,4.687520135,4.170082392,4.439292626,3.45897018,4.330217407,4.119685989,3.909832902,2.840318695,3.552285636,4.322515603,7840_at
mannosyl-oligosaccharide glucosidase,3.029572703,3.066062897,3.003141721,3.066522968,2.755870183,2.819308497,3.081637052,2.900752462,2.379172958,2.555211583,2.865816894,2.819715496,3.163795179,2.790617602,2.794094546,7841_at
ring finger protein 103,8.219805541,8.134994594,8.459028895,8.236112183,8.217810929,8.534231686,8.064857048,8.175161834,8.020579275,7.689199015,8.290975528,7.936797462,7.853909608,8.204331219,8.395850778,7844_at
"tubulin, alpha 1a",11.76662141,11.65635427,11.22262114,11.50878296,10.83182644,11.29717618,12.0268033,11.19815321,11.73568673,11.50973271,11.59638951,11.58158755,11.57337245,11.86398982,11.02178099,7846_at
paired box 8,3.401737882,3.293001573,3.526132005,3.515869858,3.387510536,3.100788734,3.276388863,3.050033434,3.664843357,3.579366847,3.626053303,4.274577562,3.60132077,3.612186999,3.452136679,7849_at
"calcium channel, voltage-dependent, beta 3 subunit",3.076812336,2.796666923,2.64355914,2.662561901,2.904241106,2.788048944,2.498819825,2.667157703,2.575018391,2.09019649,2.51019455,2.457686287,3.068489594,3.008755134,2.679131953,784_at
"interleukin 1 receptor, type II",4.455864706,5.901784356,2.913964302,5.969303063,4.109056045,4.240168825,8.609404089,4.476625429,5.221324304,4.626219107,3.979563844,4.891850185,3.209314097,6.37518279,4.845222313,7850_at
chemokine (C-X-C motif) receptor 4,6.792574647,8.478632427,7.03724119,8.065742813,5.86469946,6.892575023,10.65448826,6.355857778,7.774377041,6.266890017,6.938109737,7.27991564,5.136368536,8.434260868,6.450048627,7852_at
