Description,GSM1059640,GSM1059641,GSM1059642,GSM1059643,GSM1059644,GSM1059645,GSM1059646,GSM1059647,GSM1059648,GSM1059649,GSM1059650,GSM1059651,GSM1059652,GSM1059653,GSM1059654,ID
fms-related tyrosine kinase 3,1.967064256,1.842530031,1.821839309,2.0920604,1.822920572,1.91945114,1.792990873,2.06555054,2.800803876,1.684703707,1.888453508,1.996326993,2.175964588,1.998935617,1.860784504,2322_at
vacuolar protein sorting 13 homolog A (S. cerevisiae),5.113817959,5.462979053,4.756372728,4.608804623,4.474130872,5.262979746,4.675251849,5.383744405,4.514087917,4.261776025,4.996255425,4.140250177,4.110475195,4.714576007,4.597608645,23230_at
sel-1 suppressor of lin-12-like 3 (C. elegans),2.811830012,2.74302268,2.875913931,2.621248784,2.094491831,2.472243351,3.520919075,2.761091038,2.528206949,2.075455821,2.716859714,2.597292575,1.844349945,2.56500264,2.56500264,23231_at
"TBC1 domain family, member 12",6.816263228,6.516056876,6.764360573,6.764360573,7.085076787,6.806930403,6.529203698,6.827676737,6.821974936,6.868367645,6.582633336,6.572236213,6.399253521,6.757966959,6.829190997,23232_at
exocyst complex component 6B,1.866118622,1.90234987,1.816950916,2.009649568,1.732215964,1.908272235,1.517305753,2.016282595,1.916048797,2.006473704,1.803272562,1.843005162,1.759667589,1.756234422,1.743128287,23233_at
salt-inducible kinase 2,9.041974282,8.956142867,8.699714266,8.881323466,9.511707259,9.028895146,8.268386323,9.074594179,8.026477828,8.773502957,8.881323466,8.180522596,9.48571727,8.464084175,9.00570165,23235_at
"phospholipase C, beta 1 (phosphoinositide-specific)",7.554385263,7.187769297,7.181181278,7.19335408,6.676429415,7.257910589,6.143065724,7.162675691,6.510489917,6.386020612,7.315548933,6.363632744,5.843952015,6.538159839,6.774347915,23236_at
activity-regulated cytoskeleton-associated protein,2.110390007,2.428770547,2.348418117,2.185554755,2.218602398,2.092743838,2.09285053,2.137356647,2.57545488,2.279660297,2.198733364,2.507232634,2.24586719,2.113692037,2.373988237,23237_at
PH domain and leucine rich repeat protein phosphatase 1,3.098381053,3.166825143,3.186077109,3.45370133,3.798046018,3.316672994,2.591759459,3.657904617,2.328157984,3.679448748,3.053778337,2.906826273,4.846607977,2.934369246,3.064475596,23239_at
fms-related tyrosine kinase 3 ligand,4.195324854,3.587259478,3.999454879,3.861652215,4.624230815,3.82190038,4.517853452,4.296131426,3.587342981,4.607865029,3.694286219,4.471745747,4.845751892,4.282190822,3.61726566,2323_at
KIAA0922,4.430240969,5.318122548,3.999539684,4.136915293,4.561437366,4.562320971,5.204859201,5.036718475,3.797900122,4.146289929,3.918994488,3.186789734,4.400325809,5.543763501,4.979426127,23240_at
phosphofurin acidic cluster sorting protein 2,3.780601331,3.495643199,3.529440023,3.458290403,4.448482277,3.798257572,3.10558912,3.78522262,3.842178036,3.74323225,3.614932098,3.850627119,5.244777736,3.535142797,3.938689443,23241_at
cordon-bleu homolog (mouse),2.792388499,2.564340188,3.142512447,2.670124621,3.632531977,3.022887847,3.18064549,3.322788729,2.965175062,3.404335054,2.839562951,2.845160226,3.48285912,2.719361131,6.551367095,23242_at
ankyrin repeat domain 28,8.177453933,8.211995274,7.864984597,8.080701814,7.942435194,7.906809473,7.844354816,8.156216639,7.983124232,7.816173187,8.19351893,8.036165011,7.030265718,8.354722715,8.221680779,23243_at
"PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)",6.919490636,6.662991148,6.722890114,6.390092527,6.740453506,6.338729684,6.002020404,6.541491217,6.113056632,5.925619614,6.324449097,6.301665425,5.847595897,6.67064533,6.545250355,23244_at
astrotactin 2,3.663283332,3.055188222,3.528808481,3.443418285,3.211234598,3.089036903,3.165727592,3.479102606,3.57574816,3.576532421,3.195541102,3.255699935,3.549799255,3.265797999,2.707206455,23245_at
KIAA0556,2.426056984,2.475311661,2.213082696,2.460493503,2.589825933,2.907591303,2.522415269,2.542819649,2.055053334,2.434240291,2.859164582,1.951345569,2.868534289,2.460493503,2.460493503,23247_at
regulation of nuclear pre-mRNA domain containing 2,4.152279262,4.248434347,4.322812758,4.121970445,4.733138955,4.019400626,3.999224671,4.314433331,3.74370593,4.097497101,4.288501048,3.498271392,4.203596597,3.977480706,4.117420846,23248_at
fms-related tyrosine kinase 4,1.784140318,1.855758108,2.195668998,1.900699626,1.813549254,2.091403698,1.941796728,2.085689182,2.005053932,1.863733506,1.897841824,1.977741909,2.188156951,1.801763418,1.955650186,2324_at
"ATPase, class VI, type 11A",3.088261116,3.119743715,2.926559682,3.171806767,3.409704739,2.734904369,3.225755773,3.054053653,3.104233669,3.101071409,3.273897336,3.744984111,2.975153173,3.102998769,3.104233669,23250_at
KIAA1024,1.320172944,1.538911296,1.563908536,1.549022117,1.633873537,1.454736113,1.568845064,1.70931107,1.79871936,1.631788772,1.758077822,1.516896753,1.549022117,1.471311264,1.549022117,23251_at
OTU domain containing 3,3.361454897,3.589676833,3.345993201,2.95014235,3.464568729,3.798013297,3.405619547,3.396048225,2.611879429,2.936187733,3.361454897,3.001717651,2.725737048,3.53528986,3.466032401,23252_at
ankyrin repeat domain 12,6.678260252,7.286540679,6.666844361,5.635363716,6.342081514,6.570714637,7.177711196,7.109914056,4.924482699,5.200745562,6.959276492,5.365594152,4.298294857,6.543462933,6.878882119,23253_at
"kazrin, periplakin interacting protein",2.711693233,2.77065534,2.932934001,2.663171288,3.178671735,2.873307459,2.435995516,2.884029791,2.561098519,2.211630118,2.743827946,3.138738297,2.87876577,2.784854586,3.327352671,23254_at
KIAA0802,2.317792441,1.759443641,2.197490106,1.746121038,2.332055439,2.313647046,1.991553105,2.337734548,1.652923359,2.157027996,1.858523872,1.946331285,1.983334688,1.77951049,1.950470911,23255_at
sec1 family domain containing 1,8.533318361,8.584636294,8.584168741,8.258309203,8.312191297,8.30648792,8.414520208,8.792719399,8.543324153,8.364665142,8.665733202,8.527779895,7.675212867,8.608664067,8.722860303,23256_at
DENN/MADD domain containing 5A,9.406381531,9.460674429,9.65001415,9.51263405,9.685651712,9.725591978,9.809079993,9.366315139,9.132671177,9.116202549,9.538010951,9.271214415,9.243073927,9.576843694,9.60110636,23258_at
DDHD domain containing 2,9.288335251,9.485421144,9.438281202,9.374487472,9.251736232,9.378162522,9.026828287,9.557187878,8.328155864,8.752222892,9.255977008,8.726360255,9.159187564,9.147274713,9.576705312,23259_at
calmodulin binding transcription activator 1,2.912617733,2.957395196,3.313504453,2.914150508,3.31205141,2.823331875,3.149251829,3.175106828,2.840437895,3.022808744,3.076712292,2.862477207,2.914150508,2.828900194,2.585655207,23261_at
diphosphoinositol pentakisphosphate kinase 2,8.876503471,8.745675612,8.494464612,8.396434414,8.314224226,8.489979677,8.592042668,8.544421892,8.363606799,7.973626233,8.671542455,8.470354586,8.177259455,8.456045107,8.56898135,23262_at
MCF.2 cell line derived transforming sequence-like,3.28367446,3.509017134,4.719169029,4.343044324,4.051932438,4.836225811,3.273573618,4.398633104,2.1140337,3.050825263,3.754770348,2.834713427,4.120948989,3.810343831,3.905790892,23263_at
zinc finger CCCH-type containing 7B,2.724178705,2.880034892,3.064558218,3.243548162,2.803480323,2.952008019,2.319099875,2.844942565,2.515368425,2.61258712,2.827355444,2.739791105,2.967591673,2.693807569,2.798129603,23264_at
exocyst complex component 7,6.634382452,6.453154231,6.300521188,6.528424385,6.567163142,6.566619461,6.296145453,6.443499302,5.91005592,6.331336759,6.220848483,5.833058689,7.083074706,6.344058495,6.43719664,23265_at
latrophilin 2,9.002142235,8.951347085,9.169827649,8.744284073,9.181218716,8.773944488,8.419691936,8.980686425,8.504130212,8.602656727,8.585578122,8.148503695,8.721351213,8.594338318,8.971638576,23266_at
dynamin binding protein,4.755907978,4.712191884,4.849268436,4.807194312,5.278080307,5.219285562,4.595096062,4.767989561,2.855649451,4.795176796,4.807194312,4.054614921,4.565697064,4.807194312,5.373136735,23268_at
MAX gene associated,5.46945667,5.427962399,5.195311134,5.401244612,5.710903635,5.490554892,5.219816339,5.473981787,4.830925201,5.365112613,4.830413605,4.74306892,4.60534073,5.334479817,5.138951173,23269_at
flavin containing monooxygenase 1,6.991609077,6.069472135,6.142063915,7.220877487,6.747373579,6.344677231,6.107099687,6.427273777,7.259105879,7.533709201,6.740815269,7.033370051,5.47505739,6.077474098,6.49209333,2326_at
TSPY-like 4,3.113519859,3.217998088,3.189970199,3.125138953,3.022650438,3.299087917,3.104898276,3.080903191,2.717702668,2.845689903,3.007156928,2.671405667,3.018421358,3.01168173,3.206861384,23270_at
calmodulin regulated spectrin-associated protein 1-like 1,5.757498067,5.585909621,5.936918733,5.48622447,5.775057785,5.310520193,5.510570783,5.894649025,4.796787948,4.865231947,5.530874186,3.90775656,4.454401663,5.530874186,6.062807407,23271_at
chromosome 3 open reading frame 63,8.947305129,9.096304747,9.058739329,8.995771182,9.292248672,9.098627925,8.871119622,9.014187888,8.280062873,8.683867882,9.019610034,8.406224765,8.471858003,8.989632709,8.87557282,23272_at
"C-type lectin domain family 16, member A",2.86621646,2.829336155,2.692410929,2.629127714,2.690791527,2.626843583,2.890703956,2.792188844,1.797757051,2.670737203,2.654193852,1.836778335,2.612670994,2.601401282,2.602619373,23274_at
protein O-fucosyltransferase 2,4.41110455,3.940410896,4.719236641,4.457025552,4.499059198,4.614042793,4.736847398,4.461273481,3.733585385,4.260889755,4.337445797,4.106856077,4.128692085,4.132254955,4.272716933,23275_at
kelch-like 18 (Drosophila),4.330960056,4.36356062,4.527101113,4.712146059,4.268854209,4.406660717,4.573728389,4.163783784,3.862477284,4.051711522,4.497343946,4.037929257,4.17629699,4.499823517,4.414170302,23276_at
KIAA0664,6.726314483,6.666424649,6.590838341,6.323106769,6.87943669,6.617735334,6.063796879,6.822946858,5.674470386,6.270192365,6.189819691,6.530977072,7.438152484,6.610558244,6.279141166,23277_at
nucleoporin 160kDa,7.441591463,7.661888705,7.371202303,7.492452671,7.489814737,7.363332557,7.074503852,7.532831344,7.054683294,6.784682121,7.292833501,6.680718072,7.152513134,7.20709675,7.428530078,23279_at
flavin containing monooxygenase 2 (non-functional),9.112012814,9.86163155,10.01080109,8.991739133,10.4493352,10.06252029,10.13466455,9.079063666,8.296956612,9.654933003,10.2588996,9.253380591,10.52200788,9.193123825,9.287460548,2327_at
microtubule associated tumor suppressor candidate 2,2.184121323,1.658999715,2.095920574,2.196712826,2.218065602,2.114350515,2.328618518,1.949692643,2.160365535,2.674385599,2.44811009,2.051480441,2.051561448,1.862761453,1.970103179,23281_at
"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa, tau variant",6.754067257,6.497037401,6.497683182,6.572887124,6.408198892,6.853407011,6.716998597,6.536958682,5.886061237,6.224576524,6.664966616,6.243028246,6.328762222,6.40433484,6.455516822,23283_at
latrophilin 3,2.355860226,2.727713258,2.246765478,2.653013249,2.306132915,2.091447008,2.112227754,2.565767457,2.157425936,2.402615573,1.959468658,2.603803146,2.309670367,2.310853162,2.594275891,23284_at
KIAA1107,3.002896982,2.617440235,2.938105329,2.799786861,3.321681887,3.277106192,2.155700355,2.94730101,2.677609241,3.132316171,2.841393876,2.878755953,2.811096246,2.928870261,2.967994875,23285_at
WW and C2 domain containing 1,1.86747336,1.633829607,1.360521798,1.747642028,1.339040486,1.649561622,1.50240969,1.514536534,1.682382435,1.879269243,1.461736483,1.631925931,1.455046988,1.548023654,1.510711589,23286_at
ATP/GTP binding protein 1,7.899262475,8.2478796,8.083429555,7.878865537,7.726599441,7.771602119,8.221635094,7.900700307,7.950235154,7.322397453,8.161133668,7.544981683,7.253040399,7.875189491,7.799303185,23287_at
IQ motif containing E,4.046237275,4.354532731,3.95373278,3.932576498,3.649077,4.179871375,3.644164875,3.932576498,3.759165056,3.536498672,3.82016231,3.505967053,4.186289922,4.141319977,3.76394862,23288_at
flavin containing monooxygenase 3,7.732552382,5.308815207,7.228250443,5.465921632,5.38397315,5.965474597,8.213059916,7.739711966,7.171498395,5.845497107,7.848664601,8.165135273,7.841510817,7.979617571,6.994684709,2328_at
F-box and WD repeat domain containing 11,7.499229877,7.327228049,7.251448749,7.330485337,7.193877602,7.455811251,7.26436052,7.388799245,7.121074019,6.631923253,7.433457266,7.086748953,7.611667282,7.368546282,7.568240437,23291_at
"Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)",1.663692736,1.589106634,1.616682592,1.46158286,1.758745835,1.878361388,1.495201287,1.676752772,1.534607318,1.762628534,1.561944112,1.55336637,1.56521782,1.634024443,1.58282997,23293_at
ankyrin repeat and sterile alpha motif domain containing 1A,9.077495479,9.112707144,9.32176732,9.18634166,9.069778061,9.546317846,9.112707144,9.375597799,7.544046121,8.174301359,9.318597804,8.397472097,8.936417265,9.152310085,9.087157052,23294_at
"mahogunin, ring finger 1",3.736735001,3.552673048,3.696260011,3.742187735,3.900132837,3.835659182,4.437464303,3.842742369,2.770104902,3.302158533,3.710649008,2.816252132,3.822488521,3.617280355,3.710649008,23295_at
bicaudal D homolog 2 (Drosophila),9.444647464,9.513983991,9.312285579,9.539747534,9.225450343,9.21447591,9.699895907,9.36845964,9.264863381,9.186901852,9.458626541,8.818231859,9.062235716,9.350294528,9.526218903,23299_at
flavin containing monooxygenase 4,3.549704586,3.908901068,3.630249184,3.932673666,3.974117242,3.283871215,3.69690393,3.826527584,3.474721016,3.168188753,3.81687237,4.416299084,3.819415416,3.922044359,3.605646699,2329_at
ATM interactor,8.490350407,8.454203385,8.63569932,8.261394987,8.386160481,8.372286632,7.945456821,8.545591763,7.971391714,8.255676263,8.332369865,8.056119735,8.179323716,8.205457124,8.651582302,23300_at
EH domain binding protein 1,9.556300664,9.215018669,9.3242972,8.829124939,9.05532861,9.263503427,9.293683228,9.289797654,9.208588623,9.449134799,8.908697496,8.406887457,9.671286622,9.216011864,9.618575856,23301_at
WSC domain containing 1,2.078649771,2.25196122,2.111745326,2.440862072,2.030818535,2.25196122,2.329881985,2.25196122,2.520304889,2.293819074,2.488627726,2.17635029,2.76386432,2.242258514,2.085792076,23302_at
kinesin family member 13B,5.219714965,5.34639885,5.259432008,5.283890298,5.362686668,5.224742878,4.92944056,5.392338998,4.671217576,5.235177673,5.286810966,4.892201069,4.839734276,5.140234627,5.497334702,23303_at
ubiquitin protein ligase E3 component n-recognin 2,7.102561835,7.387642005,7.072770958,7.135538884,7.189779968,7.284969313,7.488433751,6.771160262,6.651852142,6.957654409,6.89144698,6.647831825,6.933021304,7.270824604,7.233929835,23304_at
transmembrane protein 194A,2.617513215,3.019148386,2.918602308,2.687433154,2.709727224,2.693405712,2.353497351,2.678507893,2.469108302,2.411125531,2.788686099,2.61776133,2.392044398,2.858909629,3.003434819,23306_at
"FK506 binding protein 15, 133kDa",6.545852312,5.840354605,5.903662011,6.069865138,5.800066896,5.680180676,6.566372941,5.806652273,6.132553532,6.143035849,5.65353264,6.182509312,5.899096598,6.275223538,6.044310404,23307_at
inducible T-cell co-stimulator ligand,2.030376221,1.812663328,1.712790213,1.913852228,1.803930991,1.913852228,1.913852228,1.912128838,1.901827689,1.921046751,1.944760809,2.33171716,1.913852228,1.911626919,1.913852228,23308_at
"SIN3 homolog B, transcription regulator (yeast)",3.258454508,3.268435038,3.602593846,3.395946036,3.458018914,3.490827581,3.650095481,3.564796637,2.619689744,2.77484983,3.390053653,3.007587799,3.135503935,3.384541214,3.555457225,23309_at
"non-SMC condensin II complex, subunit D3",3.816414899,3.746591492,3.651543515,3.832210722,3.630978547,4.065651124,3.713172709,3.828092249,3.677022421,3.900260402,3.815475462,3.591079608,3.535884335,3.712620689,3.719500739,23310_at
Dmx-like 2,8.065378915,7.846405864,7.620523905,7.773193648,6.940706663,7.331330421,8.211863857,8.120533317,7.879332862,6.768322075,8.050111929,7.385858812,5.805615076,8.125132697,7.648846265,23312_at
KIAA0930,4.319315773,4.153871712,4.115688661,4.923971752,3.854812161,4.075528197,4.305385355,4.097471324,3.401793829,3.224838518,4.328633665,3.755247012,4.12203435,4.524001385,4.728312345,23313_at
SATB homeobox 2,6.512787805,6.023020846,5.32233199,6.584310302,5.921743786,6.265401409,5.297261568,6.154787734,5.256081234,5.349690051,5.668941666,4.713700862,5.206192047,6.228362468,5.543536114,23314_at
"solute carrier family 9 (sodium/hydrogen exchanger), member 8",3.454325974,3.612463101,3.738175748,3.705064303,3.586412892,3.551218699,3.751938396,3.643412348,3.397340177,3.237187617,4.341750444,3.131283336,3.082092929,3.834766997,3.738306838,23315_at
cut-like homeobox 2,1.787045383,1.929104164,1.769089156,2.07299973,1.476048207,1.553123653,1.743821944,1.746218126,1.839328883,1.773149984,1.913623611,1.875648719,1.773149984,1.848702586,1.608423262,23316_at
"DnaJ (Hsp40) homolog, subfamily C, member 13",8.97878337,8.925526963,8.431533028,8.808840064,8.598394123,8.81807444,8.75675253,8.854280629,8.947668018,8.506612837,9.221512743,8.619128738,7.996835006,8.96759411,8.981776963,23317_at
"zinc finger, CCHC domain containing 11",4.851655296,5.447574919,5.085836189,5.173628442,4.996963853,5.119315935,5.259547597,4.996963853,4.554236176,4.777462558,5.060121597,4.577538669,4.868797789,4.835398409,5.031656497,23318_at
fibromodulin,10.7646425,11.23092621,10.96785224,10.90475845,10.17658824,11.10217397,10.80066383,10.83704988,9.764193607,10.7650682,10.14866006,10.40295033,10.93995197,10.36200481,10.73154176,2331_at
tripartite motif containing 2,2.991665715,3.30294632,3.168754427,2.944676588,3.191803799,2.607230566,2.30550076,2.853751982,2.77591,2.162857044,3.286410549,2.503986168,2.691679652,2.998307501,3.336004513,23321_at
RPGRIP1-like,2.320367906,2.832929513,2.611841834,2.368810306,3.097839666,2.682671603,2.477651946,2.388690708,2.32136291,2.796451761,2.651762212,2.645005223,2.382180054,2.299321726,2.553440252,23322_at
"mannosidase, alpha, class 2B, member 2",8.27574181,8.186994106,8.449612976,8.498579423,7.976435398,8.162834386,8.08096366,7.726380163,7.143550477,7.493133759,8.179370424,7.503931071,8.459954915,8.619606706,8.471039079,23324_at
KIAA1033,9.297288781,9.227455934,9.098197378,8.925699047,8.87557282,8.675034314,8.89615057,9.114179894,8.75686128,8.540972413,8.981131117,8.463066144,8.371051043,8.935015952,8.783390117,23325_at
ubiquitin specific peptidase 22,8.94541269,8.793928861,9.002585221,8.816650256,8.744797802,8.893139279,8.945122848,8.87562178,7.621671128,8.2600908,8.744792092,8.032453794,8.849490889,8.913574044,8.948451282,23326_at
"neural precursor cell expressed, developmentally down-regulated 4-like",4.316202583,5.785968659,4.81164699,5.733582874,5.889342509,5.423464077,4.616279851,5.56437723,4.196822827,4.644474623,5.285645695,4.975102238,5.003892528,5.599225082,5.490401732,23327_at
SAM and SH3 domain containing 1,10.55306002,10.71015079,10.87167036,10.80001352,10.97318773,10.90720808,10.37071178,10.93518339,9.988686754,10.03328019,10.49234981,9.921110779,10.26667462,10.53307786,10.69979765,23328_at
fragile X mental retardation 1,8.487290221,8.810843234,8.767720478,8.744574439,8.554203061,8.616765731,8.553258377,8.728203307,9.059130133,8.010877579,8.43238562,7.911757316,7.687628015,8.415866674,8.667116038,2332_at
tetratricopeptide repeat domain 28,5.296535628,5.233101724,5.233101724,5.031843711,5.410926299,5.529491365,5.105449342,5.401997942,4.348980911,5.039307382,5.147423156,4.396574184,5.322547499,5.266296777,5.256487256,23331_at
cytoplasmic linker associated protein 1,6.609993748,6.787553942,6.684838414,6.702906952,7.030402239,6.82045931,6.525674888,6.801651442,5.524585948,6.168297973,6.574294468,6.093201792,6.82379479,6.688632964,6.816880898,23332_at
dpy-19-like 1 (C. elegans),6.99734701,6.639265341,6.56245887,6.562544883,6.029491935,6.508954483,6.121492255,6.411902864,5.795338633,5.135227786,6.676276909,5.589374342,5.150873643,6.629919677,6.252283719,23333_at
KIAA0467,2.983374365,2.829791982,2.835740952,2.828492951,3.24745159,2.883183383,2.870327898,2.958390175,2.682475406,2.870327898,2.833745671,2.482717745,3.008763409,2.983446898,2.870327898,23334_at
WD repeat domain 7,7.15840472,7.154589508,7.090061192,6.898177128,6.814277886,6.912304027,6.773780176,7.123362988,6.789971716,6.843581832,7.20788304,6.095536709,6.413694021,7.119903524,6.927463817,23335_at
"synemin, intermediate filament protein",7.939934935,7.605907547,7.428059258,6.880605319,6.911128001,7.32579292,6.678725951,7.155521719,6.811304618,6.776023014,7.235074766,6.740984255,7.001469469,7.105382654,8.09896571,23336_at
PHD finger protein 15,5.030593993,4.75613541,5.325026211,6.063501638,5.325026211,5.254941789,5.800253194,5.710209731,4.330405343,5.25236202,4.999614205,4.669136474,6.581359936,4.685252159,5.429496019,23338_at
vacuolar protein sorting 39 homolog (S. cerevisiae),4.561250793,4.606443374,4.912810697,4.711800483,4.930234216,4.908434588,5.148911184,5.004275472,3.758489134,3.997422484,4.754921658,4.088050335,4.498072786,4.604915987,4.794831381,23339_at
"DnaJ (Hsp40) homolog, subfamily C, member 16",5.759231171,5.665943535,5.988986022,5.893351932,5.738016606,6.234058648,5.573544795,6.318506021,5.656709987,6.420330701,6.08467871,5.817538419,5.732754896,5.911241015,6.128069315,23341_at
extended synaptotagmin-like protein 1,9.157502383,9.196696128,9.316726067,9.324932216,9.816636718,9.60805897,9.274104554,9.509935446,8.720980594,9.732742052,9.366729604,8.96928926,10.21027247,9.39169713,9.543642496,23344_at
"spectrin repeat containing, nuclear envelope 1",7.27751873,7.440043868,7.586286099,7.592653837,7.733190191,7.9256023,7.898972436,7.158174893,6.196213363,6.793330376,7.282265365,6.846637154,6.666273157,6.96899174,7.639717422,23345_at
structural maintenance of chromosomes flexible hinge domain containing 1,5.751704068,6.426696825,5.714110874,6.039564427,5.004385474,5.440869902,8.426655718,5.770853985,5.052169616,5.259453201,5.603496593,4.593613535,5.425773763,6.193928334,5.627625079,23347_at
dedicator of cytokinesis 9,9.151815075,9.379527227,9.835266705,9.522844984,9.210841702,10.18201096,9.111331222,9.650314858,7.993100831,8.388939093,9.505210753,7.966615996,8.779492649,9.045511764,9.653876842,23348_at
KIAA1045,2.191598986,2.303427224,2.078710105,2.330555346,2.337758059,2.290396247,2.459265172,2.654583087,2.610822408,2.838173295,2.17752481,2.172939316,2.585960538,2.231049288,2.387641154,23349_at
"AF4/FMR2 family, member 2",2.569908568,2.707397094,2.961230674,2.793175559,2.89750765,2.888874327,3.133864422,3.306310679,2.407284664,2.293140957,2.384029711,2.283905383,2.777080108,2.580146544,2.818519248,2334_at
U2 snRNP-associated SURP domain containing,8.972107343,9.000023053,9.090709921,8.478047969,8.952587482,8.732711992,9.107453012,9.055315692,8.18995298,8.402200895,8.813642211,7.852913815,8.218719316,8.937941522,9.073774595,23350_at
KH and NYN domain containing,6.611377199,6.16413729,6.453805009,5.839639763,6.380806737,6.165368127,6.538838237,6.320608329,5.280807305,6.105747514,6.350165839,5.716871468,5.536640949,6.264380874,6.119459076,23351_at
ubiquitin protein ligase E3 component n-recognin 4,7.3093401,6.90454241,7.445214699,7.124941121,7.437328114,7.485046926,7.280720128,7.420005019,6.944911539,7.285453185,7.484366792,6.864961222,7.240122853,7.347272313,7.407370916,23352_at
Sad1 and UNC84 domain containing 1,10.19695151,10.33714962,10.24336151,10.3435639,10.30995099,10.42109947,10.04752105,10.39254315,9.318932607,9.408957112,10.33869815,9.632843765,9.834256763,10.2640097,10.44246293,23353_at
"HAUS augmin-like complex, subunit 5",3.219660231,3.12801368,3.48669723,3.177759038,3.354655047,3.297188189,2.917742413,3.220563066,2.675665642,3.211840478,2.857577777,2.741671802,3.038806387,3.089352592,3.11268625,23354_at
vacuolar protein sorting 8 homolog (S. cerevisiae),5.91038648,5.993804475,6.142023606,6.145963049,6.188169952,6.159780827,6.554441188,6.218036178,6.310608243,6.006772635,6.283944279,6.071817148,6.292863297,6.123616685,6.159780827,23355_at
angel homolog 1 (Drosophila),3.561538829,3.874956817,3.606283816,3.737441765,3.79247569,3.861613154,3.737441765,3.64673193,3.777387601,3.649284283,3.832879271,3.586482162,3.737441765,3.685230328,3.879211394,23357_at
ubiquitin specific peptidase 24,5.192991608,5.468995098,5.29698516,4.964192137,5.207559264,5.231427347,5.153546452,5.385043082,5.199833472,4.966266842,5.301926576,4.768123903,4.550813292,5.208707578,5.391939925,23358_at
"family with sequence similarity 189, member A1",1.918661594,2.018714632,1.748320215,2.070579315,2.35689021,1.913142374,2.018714632,2.016957127,2.179032265,2.113085965,2.106905467,2.121708217,1.969824835,1.918694412,2.018714632,23359_at
fibronectin 1,1.831090918,1.92519268,2.076855724,1.943186115,1.802232866,2.245556803,1.809264838,1.873052565,1.873052565,1.493334219,2.131401314,1.873052565,1.917566367,2.014698773,1.75369579,2335_at
formin binding protein 4,8.280399106,8.289186027,8.450644463,8.120651675,8.380389676,8.334515108,8.713141948,8.55157162,6.683953553,7.295225935,8.192319145,7.322815466,7.467969117,8.177693418,8.565989187,23360_at
zinc finger protein 629,1.988587883,1.959840601,1.901431295,2.207450498,2.133160804,2.19372161,2.05590023,1.727642199,2.774541925,2.011686175,2.068354917,2.19052493,2.087160806,2.066466003,2.087160806,23361_at
pleckstrin and Sec7 domain containing 3,6.337623356,5.933301348,6.325711903,6.02319656,5.919543814,6.059549692,5.290021762,5.777767804,6.563295697,5.634130201,5.898835722,6.019683083,4.801976625,6.03982551,6.308258795,23362_at
obscurin-like 1,6.474840344,6.463637852,7.561346374,6.487898557,7.295227968,7.663198086,7.057905199,7.295646888,5.428116291,6.136218252,6.993735011,6.067558606,7.395308733,7.37455525,7.225061114,23363_at
Rho guanine nucleotide exchange factor (GEF) 12,8.992567849,8.970173232,8.912009616,8.825112916,8.869097758,8.93510505,8.384819789,9.06707687,8.390662981,8.453120986,8.580630331,8.466098927,8.35412543,8.77140423,8.903430724,23365_at
KIAA0895,2.334992235,2.689106923,2.391323077,2.415490563,2.381462351,2.391323077,1.974773367,2.641178843,2.440632059,2.612102796,2.62259211,2.826061285,2.036165797,2.391323077,2.257159537,23366_at
"La ribonucleoprotein domain family, member 1",6.473972221,6.348091097,6.596955609,6.326204543,6.694647921,6.381230468,6.106179138,6.539875076,5.664049522,6.119165247,6.395293005,5.615404947,6.405390263,6.307596595,6.541834394,23367_at
"protein phosphatase 1, regulatory (inhibitor) subunit 13B",3.860707903,4.296778141,3.772031861,3.979437228,4.014038086,4.210686361,3.919437201,4.22895856,3.200092606,3.677797145,3.919437201,3.362679569,4.152135292,4.113640299,3.43330859,23368_at
pumilio homolog 2 (Drosophila),9.042477685,9.189125143,9.220923253,9.149349885,9.156477377,9.08907144,9.292431657,9.165963832,8.958173122,8.808061032,8.935007322,8.77992834,8.854516469,8.92314837,9.330317461,23369_at
Rho/Rac guanine nucleotide exchange factor (GEF) 18,5.616796898,5.849140266,5.725391509,6.199917084,5.482740428,5.759902468,6.928244537,5.68139733,4.571343305,5.409640943,5.391923549,4.860693022,6.142602894,6.001508948,5.381256169,23370_at
tensin like C1 domain containing phosphatase (tensin 2),7.17275189,6.847977251,7.823694948,7.604206848,9.0099744,7.870485236,7.717073324,7.60578277,5.779244248,7.588990659,7.597739377,7.515474311,9.001104427,6.955195669,8.020700644,23371_at
CREB regulated transcription coactivator 1,2.345830169,2.304683508,2.312313575,1.980770172,2.805521496,2.264862003,2.272972388,2.328698191,2.317030261,3.239940038,2.343691019,2.736532285,2.585019555,2.33573607,2.360353809,23373_at
KIAA0776,8.907967573,8.848601368,8.902431982,8.378168727,8.884908345,8.653936796,8.34463667,8.900572298,8.544723635,8.253024252,8.790841085,8.38907852,8.471716313,8.625905584,8.898326211,23376_at
KIAA0947,8.546727727,8.84345848,8.765031268,8.448112378,8.49935748,8.755137756,8.547360357,8.591018441,8.333979948,8.400811401,8.635991023,7.714419825,8.211545578,8.615979224,8.722851406,23379_at
